rest_name,ratings,location,num_reviews,city,cuisine_type
Si Fang a Jiu Minced Pork Rice,4.3,Wanhua,92,Taipei,chinese
Si Fang a Jiu Minced Pork Rice,4.3,Wanhua,92,Taipei,asian
Gusto,4.7,Zhongzheng,103,Taipei,italian
Gusto,4.7,Zhongzheng,103,Taipei,pizza
AISIN GIORO Restaurant,4.5,Da'an,821,Taipei,chinese
AISIN GIORO Restaurant,4.5,Da'an,821,Taipei,seafood
Thai Bazaar,4.1,Xinyi,250,Taipei,asian
Thai Bazaar,4.1,Xinyi,250,Taipei,thai
Just Italian Restaurant,4.2,Da'an,274,Taipei,italian
Just Italian Restaurant,4.2,Da'an,274,Taipei,pizza
Lan Jia Steamed Sandwich Shop,4.3,Zhongzheng,227,Taipei,chinese
Lan Jia Steamed Sandwich Shop,4.3,Zhongzheng,227,Taipei,fast
Lan Jia Steamed Sandwich Shop,4.3,Zhongzheng,227,Taipei,food
Kitchen 12-Sheraton Grande Taipei Hotel,4,Zhongzheng,3588,Taipei,chinese
Kitchen 12-Sheraton Grande Taipei Hotel,4,Zhongzheng,3588,Taipei,asian
Golden Phoenix Hall Cantonese Cuisine,4.2,Zhongshan,669,Taipei,chinese
Golden Phoenix Hall Cantonese Cuisine,4.2,Zhongshan,669,Taipei,asian
Mala Yuanyang Hotpot,4.3,Wanhua,242,Taipei,chinese
Mala Yuanyang Hotpot,4.3,Wanhua,242,Taipei,asian
Metro Buffet - Caesar Metro Taipei,3.9,Wanhua,179,Taipei,chinese
Metro Buffet - Caesar Metro Taipei,3.9,Wanhua,179,Taipei,japanese
Little Mongolian Taipei Station(hotpot),4.1,Zhongzheng,329,Taipei,chinese
Little Mongolian Taipei Station(hotpot),4.1,Zhongzheng,329,Taipei,asian
Top Cap Steakhouse,4.3,Xinyi,499,Taipei,steakhouse
Top Cap Steakhouse,4.3,Xinyi,499,Taipei,european
"Mayur Indian Kitchen Vegetarian restaurant, MIK-3",4.5,Zhongshan,344,Taipei,indian
Mala Hotpot,4.3,Xinyi,130,Taipei,chinese
Mala Hotpot,4.3,Xinyi,130,Taipei,asian
Niang Zi Korean Food,4.2,Songshan,1268,Taipei,barbecue
Niang Zi Korean Food,4.2,Songshan,1268,Taipei,asian
Danny & Company,4.5,Da'an,348,Taipei,steakhouse
Tokiya (Taipei Chongqing S. Branch),4.2,Zhongzheng,320,Taipei,NA
Ai Zai Cai Ru Rou Fan,4.3,Beitou,55,Taipei,chinese
Rainbow Terrace the Atrium,4.2,Da'an,495,Taipei,chinese
Rainbow Terrace the Atrium,4.2,Da'an,495,Taipei,international
Sukhothai - Sheraton Grand Taipei Hotel,4.2,Zhongzheng,389,Taipei,asian
Sukhothai - Sheraton Grand Taipei Hotel,4.2,Zhongzheng,389,Taipei,thai
Shihlin Kitchen - Renaissance Taipei Shihlin Hotel,3.9,Shilin,332,Taipei,italian
Shihlin Kitchen - Renaissance Taipei Shihlin Hotel,3.9,Shilin,332,Taipei,seafood
Dian Shui Lou - Huaining,4,Zhongzheng,537,Taipei,chinese
Dian Shui Lou - Huaining,4,Zhongzheng,537,Taipei,asian
Shuang Yue Food,4.4,Zhongzheng,65,Taipei,chinese
Shuang Yue Food,4.4,Zhongzheng,65,Taipei,asian
Da Antonio Ristorante Italiano,4.1,Xinyi,407,Taipei,italian
Steak Inn,4.4,Da'an,506,Taipei,steakhouse
Steak Inn,4.4,Da'an,506,Taipei,seafood
French Windows - British TeaHouse,4.6,Xinyi,360,Taipei,italian
French Windows - British TeaHouse,4.6,Xinyi,360,Taipei,european
Saffron Fine Indian Cuisine,4.6,Shilin,243,Taipei,indian
Saffron Fine Indian Cuisine,4.6,Shilin,243,Taipei,asian
Chamonix Teppanaki - Zhongxiao  E. Rd Branch,4.5,Da'an,362,Taipei,NA
Antoine Room-Sheraton Grande Taipei Hotel,4.5,Zhongzheng,258,Taipei,french
Antoine Room-Sheraton Grande Taipei Hotel,4.5,Zhongzheng,258,Taipei,european
Top One Pot JiLin,4.3,Zhongshan,379,Taipei,chinese
Top One Pot JiLin,4.3,Zhongshan,379,Taipei,asian
Manlai Hot Spring Ramen,3.7,Beitou,121,Taipei,japanese
Manlai Hot Spring Ramen,3.7,Beitou,121,Taipei,asian
Nook Restaurant,4.5,Beitou,39,Taipei,chinese
Nook Restaurant,4.5,Beitou,39,Taipei,american
Thai Town Cuisine - Taipei Main Station Mitsukoshi Store,4.3,Zhongzheng,150,Taipei,thai
Hestia Tapas Bar,4.3,Songshan,248,Taipei,mediterranean
Hestia Tapas Bar,4.3,Songshan,248,Taipei,european
Hooters Taipei,3.9,Songshan,110,Taipei,bars
Hooters Taipei,3.9,Songshan,110,Taipei,pubs
Hooters Taipei,3.9,Songshan,110,Taipei,american
Taoran Ting Restaurant,4.2,Songshan,85,Taipei,chinese
Taoran Ting Restaurant,4.2,Songshan,85,Taipei,asian
Checkers,3.9,Zhongzheng,1990,Taipei,chinese
Checkers,3.9,Zhongzheng,1990,Taipei,asian
Beitou Kagaya,4,Beitou,65,Taipei,japanese
Beitou Kagaya,4,Beitou,65,Taipei,asian
