rest_name,cuisine,ratings,location,num_reviews,city
Tokiya (Taoyuan Sanmin Branch),,4.1,n Branch)4.14.1 of 5 bubbles(84 reviews) 10.1 miYangmei District,84,Kaohsiung
Frank's Texas Bbq,"American, BarbecueOpens in 8 min",4.1,Daxi District,10,Kaohsiung
Katsumasa - Zhongli Dajiang Store,,4.4,Zhongli District,22,Kaohsiung
Lifestyle Book Store,Cafe,4.6,Pingzhen District,7,Kaohsiung
Stanley’s Steakhouse,Steakhouse,4,Zhongli District,1,Kaohsiung
Chuan Men Tz Trendy Szechwan Cuisine,,4,Luzhu District,21,Kaohsiung
Nan Bei He Noodles Diner,Asian,4,Yangmei District,7,Kaohsiung
The Black Apartment Coffee and Art Gallery,"Italian, American",4.7,Yangmei District,7,Kaohsiung
Dim Sum Master - Ba De/Guang Feng,Asian,3.1,Bade District,7,Kaohsiung
A Pi Po Herb Stew Spare Rib,"Asian, Taiwanese",4,Yangmei District,3,Kaohsiung
Wulao Zhongzheng,"Asian, Taiwanese",4.2,Taoyuan District,60,Kaohsiung
Ba Fung Hakka Restaurant,"Asian, Taiwanese",3.5,Yangmei District,13,Kaohsiung
D3 Bar,,4,Dayuan District,9,Kaohsiung
Yi Fan Di Sukiyaki,Japanese,4.2,Taoyuan District,23,Kaohsiung
Lai Ma Ma Tofu Pudding,,4,Daxi District,22,Kaohsiung
Monet Coffee-Yong An,"Cafe, Fast Food",4.5,Xinwu District,2,Kaohsiung
Wonder Garden,Chinese,4.6,Pingzhen District,7,Kaohsiung
Lao Sichuan Spicy Hot Pot,"Chinese, Asian",4.1,Taoyuan District,43,Kaohsiung
Momo Paradise Zhongli Dajiang,Open now,3.7,Zhongli District,54,Kaohsiung
Lanting Moon,"Chinese, Contemporary",5,Longtan District,1,Kaohsiung
Ming Shi Fu Seafood,Seafood,4.3,Dayuan District,7,Kaohsiung
Pizza Rock Taiwan - Taoyuan Branch,"Italian, American",4.8,Taoyuan District,6,Kaohsiung
KaiFun Together - Taoyuan,,4,Taoyuan District,21,Kaohsiung
Hong Deng Long Nong Jia Cai Restaurant,,4.2,Longtan District,5,Kaohsiung
TGI Fridays Taoyuan,,4.3,Taoyuan District,221,Kaohsiung
Sun Dong Bao Niu Pai   Zhong Li Jian Xing,"Steakhouse, Asian",3.6,Zhongli District,8,Kaohsiung
Ate Marita Cold Noodle House,"Filipino, Asian",5,Zhongli District,6,Kaohsiung
Green Breeze Prairie,Fusion,3.8,Pingzhen District,12,Kaohsiung
Yakiyan O-NiKU - Taoyuan Tong Ling,Asian,4.6,Taoyuan District,67,Kaohsiung
