rest_name,cuisine,ratings,location,num_reviews,city
Xinhong Goose Restaurant,"Asian, Taiwanese",3.3,Xinwu District,3,Taoyuan
Youji Liaoli,"Asian, Taiwanese",3.8,Daxi District,5,Taoyuan
Long Tan Lao Tou Bai Hakka Cuisine,Fusion,3.6,Longtan District,28,Taoyuan
Lao You Tiao Jia Chang Cai (Linkou),"Chinese, AsianOpens in 8 min",4.5,Guishan District,2,Taoyuan
Yi Xiao Lu,"Japanese, Sushi",5,Taoyuan District,4,Taoyuan
Gan Noodle,"Asian, Taiwanese",4.3,Daxi District,6,Taoyuan
Hanlin Tea House,Fusion,4.2,Taoyuan District,18,Taoyuan
Pleasant Hotels Buffet,International,3.4,Taoyuan District,37,Taoyuan
Smail,"Pizza, Cafe",4.4,Daxi District,5,Taoyuan
Cozzi Market,Fusion,3.3,Zhongli District,3,Taoyuan
Thai Town Cuisine- Zhongli Metro Walk Store,Thai,4,Zhongli District,104,Taoyuan
Wu Ming Seafood Dining,"Chinese, AsianClosed today",5,Dayuan District,1,Taoyuan
LEBLEDOR - Zhongli Sogo Outlet,"American, Brew Pub",3.8,Zhongli District,22,Taoyuan
Roux Bistro,"French, FusionOpens in 8 min",5,Taoyuan District,1,Taoyuan
Little Mongolian Spicy Hot Pot - Zhongli,"Asian, Taiwanese",4,Zhongli District,249,Taoyuan
KIKI Noodle Bar,Open now,4.5,Dayuan District,2,Taoyuan
Top-d Seafood Restaurant (Taoyuan),"Chinese, SeafoodOpen nowMenu",3.9,Taoyuan District,65,Taoyuan
Yangmei Shouwu Hakka Seafood,"Asian, Taiwanese",3.8,Yangmei District,6,Taoyuan
Hakka Shallot Noodles,"Asian, Taiwanese",3.8,Yangmei District,6,Taoyuan
Mos Burger,,4.1,Zhongli District,46,Taoyuan
KaiFun Together - Zhongli,Open nowMenu,4.3,Zhongli District,18,Taoyuan
Aegean Sea Shore Cafe,ItalianOpens in 8 min,4.3,Xinwu District,3,Taoyuan
Sunrise Golf & Country Club,Fusion,4.1,Yangmei District,15,Taoyuan
The Vivid Western Restaurant (Hotel Kuva Chateau),,3.9,Zhongli District,185,Taoyuan
Formosa Chang - Taoyuan Erhang,Open now,3.8,Dayuan District,16,Taoyuan
Xiao Nan Men Chuantong Douhua,,4,Dayuan District,2,Taoyuan
Littlehill. Life,Opens in 8 min,4.4,Longtan District,8,Taoyuan
Hu Tong Yakiniku,,4.3,Taoyuan District,9,Taoyuan
Guo Ran Hui Tongling,,4.2,Taoyuan District,14,Taoyuan
Shiyuan Huoyu Restaurant,ChineseOpen now,4.7,Longtan District,3,Taoyuan
Bonew Cafe',"Cafe, Northern-Italian",4.5,Longtan District,4,Taoyuan
Thai Town Cuisine - Taoyuan Zhongzheng Store,Thai,4.3,Taoyuan District,39,Taoyuan
Jin Zhang Roast,,4.2,Daxi District,5,Taoyuan
Yentl Pasta - Linkou,Italian,4.5,Guishan District,4,Taoyuan
Orchard Cafe - Orchard Park,International,3.9,Dayuan District,112,Taoyuan
Chiuan Jia Fu Hakka Cuisine Restaurant,"Asian, Taiwanese",4.6,Zhongli District,8,Taoyuan
Yulan Huoyu Restaurant,"Chinese, SeafoodOpen now",4,Longtan District,2,Taoyuan
Lao Di Fang Restaurant,"Asian, Taiwanese",4.5,Longtan District,2,Taoyuan
Tina Kitchen,Fusion,3.8,Bade District,11,Taoyuan
Green Herb Cuisine,"International, FusionOpen nowMenu",5,Taoyuan District,2,Taoyuan
Little Mongolian Taoyuan,ChineseOpens in 8 min,4,Taoyuan District,107,Taoyuan
Red Barn BBQ Kitchen,"Mexican, ChineseClosed now",4.2,Luzhu District,5,Taoyuan
Back Street Office,Cafe,4.2,Daxi District,5,Taoyuan
Tokiya (Taoyuan Sanmin Branch),,4.1,n Branch)4.14.1 of 5 bubbles(84 reviews) 10.1 miYangmei District,84,Taoyuan
Frank's Texas Bbq,"American, BarbecueOpens in 8 min",4.1,Daxi District,10,Taoyuan
Katsumasa - Zhongli Dajiang Store,,4.4,Zhongli District,22,Taoyuan
Lifestyle Book Store,Cafe,4.6,Pingzhen District,7,Taoyuan
Stanley’s Steakhouse,Steakhouse,4,Zhongli District,1,Taoyuan
Chuan Men Tz Trendy Szechwan Cuisine,,4,Luzhu District,21,Taoyuan
Nan Bei He Noodles Diner,Asian,4,Yangmei District,7,Taoyuan
The Black Apartment Coffee and Art Gallery,"Italian, American",4.7,Yangmei District,7,Taoyuan
Dim Sum Master - Ba De/Guang Feng,Asian,3.1,Bade District,7,Taoyuan
A Pi Po Herb Stew Spare Rib,"Asian, Taiwanese",4,Yangmei District,3,Taoyuan
