rest_name,cuisine,ratings,location,num_reviews,city
Yong Kang Beef Noodles,"Chinese, Asian",4,Da'an,851,Taipei
Zhouji Rouzhou,"Chinese, Asian",4.1,Wanhua,172,Taipei
Café Un Deux Trois,"Steakhouse, International",4.4,Songshan,716,Taipei
Top One Pot,"Chinese, Asian",4.3,Zhongshan District,677,Taipei
Merlot Cafe & Bistro,"Italian, European",4.6,Zhongshan District,394,Taipei
La Farfalla - Humble House Taipei,Italian,4.2,Xinyi District,2983,Taipei
Latest Recipe - Le Meridien Taipei,Asian,4.1,Xinyi District,2535,Taipei
Sunway Siokudo,"Japanese, Sushi",4.1,Wanhua,134,Taipei
Chousan,"Asian, Taiwanese",4.5,Shilin,51,Taipei
Hangzhou Xiaolong Tangbao,"Chinese, Asian",4.1,Songshan,175,Taipei
The Guest House - Sheraton Grande Taipei Hotel,"Chinese, Asian",4.2,Zhongzheng District,305,Taipei
Ruth's Chris Steak House,Steakhouse,4.5,Zhongshan District,265,Taipei
Gustoso Italian Restaurant- Madison Taipei Hotel,"Italian, Steakhouse",4.5,Da'an,295,Taipei
Toutouan Kaiseki Restaurant,Japanese,4.5,Da'an,525,Taipei
Chamonix Teppanyaki (Taipei Nanchang Branch),NA,4.4,Zhongzheng District,526,Taipei
Wang Steak (Zhongshan N. Branch),Steakhouse,4.2,Zhongshan District,395,Taipei
Rakumenya-Nangang Shop,Japanese,4.7,Nangang,387,Taipei
Qiao Zhi Wei Handmade Dumplings,"Chinese, Asian",4.4,Zhongzheng District,134,Taipei
Qi Yan No.1 Sichuan Cuisine,Chinese,4.6,Beitou,54,Taipei
Si Fang a Jiu Minced Pork Rice,"Chinese, Asian",4.3,Wanhua,92,Taipei
Gusto,"Italian, Pizza",4.7,Zhongzheng District,103,Taipei
AISIN GIORO Restaurant,"Chinese, Seafood",4.5,Da'an,821,Taipei
Thai Bazaar,"Asian, Thai",4.1,Xinyi District,250,Taipei
Just Italian Restaurant,"Italian, Pizza",4.2,Da'an,274,Taipei
Lan Jia Steamed Sandwich Shop,"Chinese, Fast Food",4.3,Zhongzheng District,227,Taipei
Kitchen 12-Sheraton Grande Taipei Hotel,"Chinese, Asian",4,Zhongzheng District,3588,Taipei
Golden Phoenix Hall Cantonese Cuisine,"Chinese, Asian",4.2,Zhongshan District,669,Taipei
Mala Yuanyang Hotpot,"Chinese, Asian",4.3,Wanhua,242,Taipei
Metro Buffet - Caesar Metro Taipei,"Chinese, Japanese",3.9,Wanhua,179,Taipei
Little Mongolian Taipei Station(hotpot),"Chinese, Asian",4.1,Zhongzheng District,329,Taipei
Top Cap Steakhouse,"Steakhouse, European",4.3,Xinyi District,499,Taipei
"Mayur Indian Kitchen Vegetarian restaurant, MIK-3",Indian,4.5,Zhongshan District,344,Taipei
Mala Hotpot,"Chinese, Asian",4.3,Xinyi District,130,Taipei
Niang Zi Korean Food,"Barbecue, Asian",4.2,Songshan,1268,Taipei
Danny & Company,Steakhouse,4.5,Da'an,348,Taipei
Tokiya (Taipei Chongqing S. Branch),NA,4.2,Zhongzheng District,320,Taipei
Ai Zai Cai Ru Rou Fan,Chinese,4.3,Beitou,55,Taipei
Rainbow Terrace the Atrium,"Chinese, International",4.2,Da'an,495,Taipei
Sukhothai - Sheraton Grand Taipei Hotel,"Asian, Thai",4.2,Zhongzheng District,389,Taipei
Shihlin Kitchen - Renaissance Taipei Shihlin Hotel,"Italian, Seafood",3.9,Shilin,332,Taipei
Dian Shui Lou - Huaining,"Chinese, Asian",4,Zhongzheng District,537,Taipei
Shuang Yue Food,"Chinese, Asian",4.4,Zhongzheng District,65,Taipei
Da Antonio Ristorante Italiano,Italian,4.1,Xinyi District,407,Taipei
Steak Inn,"Steakhouse, Seafood",4.4,Da'an,506,Taipei
French Windows - British TeaHouse,"Italian, European",4.6,Xinyi District,360,Taipei
Saffron Fine Indian Cuisine,"Indian, Asian",4.6,Shilin,243,Taipei
Chamonix Teppanaki - Zhongxiao  E. Rd Branch,NA,4.5,Da'an,362,Taipei
Antoine Room-Sheraton Grande Taipei Hotel,"French, European",4.5,Zhongzheng District,258,Taipei
Top One Pot JiLin,"Chinese, Asian",4.3,Zhongshan District,379,Taipei
Manlai Hot Spring Ramen,"Japanese, Asian",3.7,Beitou,121,Taipei
Nook Restaurant,"Chinese, American",4.5,Beitou,39,Taipei
Thai Town Cuisine - Taipei Main Station Mitsukoshi Store,Thai,4.3,Zhongzheng District,150,Taipei
Hestia Tapas Bar,"Mediterranean, European",4.3,Songshan,248,Taipei
Hooters Taipei,"Bars & Pubs, American",3.9,Songshan,110,Taipei
Taoran Ting Restaurant,"Chinese, Asian",4.2,Songshan,85,Taipei
